22	Mo-Fr 7:00-7:00; Sa-Su 7:00-7:00
22	Mo-Fr 7:00-24:00;Sa-Su 9:00-24:00
22	Mo-Fr 7:00-19:30; Sa-Su 7:00-19:00
22	Mo-Fr 7:00-18:00; Sa-Su 7:00-12:00
22	Mo-Fr 09:00-18:00; Sa 9:00-14:00
22	Mo-Fr 08:00–13:00,14:00–17:00
22	Mo-Do: 07:30-16:30; Fr: 7:30-13:30
22	Jun 15-Mar 14, sunrise-sunset
22	9:30-21:00
22	8:30-19:30
22	8:30-17:00
22	8:30-16:30
22	8:00 - 21:00
22	8:00 - 17:00
22	7:30-21:00
22	7:30-18:00
22	7:00-15:00
22	11:00-2:00
21	Tu-Sa 9:00-17:00
21	Sat-Thu 010:00-20:00
21	Sa-Th 9:00-12:00, 12:00-5:00
21	Mo-Su 6:00-20:00
21	Mo-Su 5:00-23:45
21	Mo-Su 5:00-23:00
21	Mo-Sa 9:00-16:00
21	Mo-Fr 9:00-19:00; Sa-Su 8:00-19:00
21	Mo-Fr 9:00-18:00; Sa 9:00-12:00
21	Mo-Fr 8:30-16:00
21	Mo-Fr 8:00-18:00; Sa-Su 8:00-16:00
21	Mo-Fr 7:00-20:00; Sa-Su 7:00-18:00
21	Mo-Fr 7:00-17:00; Sa-Su 7:00-17:00
21	Mo-Fr 6:30-19:00; Sa-Su 6:30-19:00
21	Mo-Fr 6:00-18:00
21	Apr 01-Sep 30 08:00-18:30; Oct 1 - May 31 08:00-17:30
21	9:30-18:00
21	9:00 - 22:00
21	8
21	6:30-21:00
21	4:30 - 23:00
20	Saturday
20	Mo, Th, Fr 9:30-18:00; Tu, We 11:30-20:00; Sa 9:30-15:00
20	Mo-Su 7:00-24:00
20	Mo-Sa 9:00-21:00; Su 9:00-20:00
20	Mo-Fr 9:00-19:00; Sa-Su 10:00-18:00
20	Mo-Fr 9:00-17:00; Sa 9:00-12:00
20	Mo-Fr 9:00-12:00
20	Mo-Fr 8:00-19:00; Sa 8:00-13:00
20	Mo-Fr 8:00-18:00; Sa-Su 8:30-18:00
20	Mo-Fr 8:00-18:00; Sa-Su 6:00-18:00
20	Mo-Fr 8:00-18:00; Sa 8:00-12:00
20	Mo-Fr 8:00-17:00; Sa-Su 8:00-18:00
20	Mo-Fr 7:30-17:30
20	Mo-Fr 7:00-20:00; Sa-Su 9:00-20:00
20	Mo-Fr 7:00-20:00; Sa-Su 7:00-21:00
20	Mo-Fr 7:00-12:00; Sa-Su 7:00-12:00
20	Mo-Fr 09:30-16:00; Sa,Su,PH 09:00-16:00; Jan 1 off; Dec 25-26 off
20	9:30-19:30
20	9:00-15:00
20	9:00 - 16:00
20	8:30-21:00
20	8:00-14:00
20	8:00 - 19:00
20	6:30-20:00
20	4:00-1:00
20	10h
20	10:00-4:00
19	week 1-53/2 Fr 09:00-12:00; week 2-52/2 We 09:00-12:00
19	Su 9:30, 11:00
19	Monday-Saturday 11 AM
19	Mo-Su 8:30-22:00
19	Mo-Su 6:00-18:00
19	mo-su 10:00-20:00
19	Mo-Su 10:00-2:00
19	Mo-Sa 9:00-20:00; Su 10:00-18:00
19	Mo-Sa 9:00-19:00; Su 10:00-17:00
19	Mo-Sa 7:00-18:00
19	Mo-Sa 10:00-21:00; Su 12:00-20:00; Jan 1,Apr 19,May 1,Jun 24,Jul 5,Jul 24,Oct 12,Dec 24,Dec 25,Dec 31 12:00-20:00
19	Mo-Fr 9:00-18:00; Sa 9:00-17:00
19	Mo-Fr 8:30-18:00; Sa-Su 8:00-18:00
19	Mo-Fr 8:00-18:30; Sa-Su 8:30-18:00
19	Mo-Fr 7:30-18:00; Sa-Su 7:00-18:00
19	Mo-Fr 7:00-16:30
19	Mo-Fr 09:00-17:00; Jan 1,Apr 19,May 1,Jun 24,Jul 5,Jul 24,Oct 12,Dec 24,Dec 25,Dec 31 off
19	Mo-Fr 08:00-18:30; Sa Off; Su Off
19	Mo-Fr 06:30-17:00; Sa,Su,PH OFF
19	9:00 - 20:00
19	8:30-19:00
19	8:00-21:30
19	7:30-19:00
19	10
18	Mo-Su 9:00-24:00
18	Mo-Su 7:30-19:00
18	Mo-Su 5:00-21:00
18	Mo-Su 00:00-24:00; Nov-Mar Off
18	Mo-Sa 9:30-20:00
18	Mo-Sa 7:00-21:00; Su 9:00-20:00
18	mo-sa 10:00-22:00
18	Mo-Sa 10:00-20:00; Su 12:00-19:00; Jan 1,Apr 19,May 1,Jun 24,Jul 5,Jul 24,Oct 12,Dec 24,Dec 25,Dec 31 12:00-19:00
18	Mo-Fr 9:30-18:00
18	Mo-Fr 9:30-17:00
18	Mo-Fr 9:00-19:00; Sa 9:00-13:00
18	Mo-Fr 8:00-21:00; Sa-Su 9:00-21:00
18	Mo-Fr 8:00-19:00; Sa 8:00-14:00
18	Mo-Fr 8:00-17:30
18	Mo-Fr 8:00-13:00
18	Mo-Fr 7:00-20:00; Sa-Su 8:00-21:00
18	Mo-Fr 7:00-19:00; Sa-Su 9:00-18:00
18	Mo-Fr 7:00-18:00; Sa-Su 0:00-0:00
18	Mo-Fr 7:00-17:30
18	Jan sunrise-17:00; Feb 1-Feb 13 sunrise-17:30; Feb 14-Feb 27 sunrise-18:00; Feb 28-Feb 31 sunrise-20:00; Apr-Sep sunrise-20:30; Oct 1-Oct 9 sunrise-19:30; Oct 10-Oct 16 sunrise-19:00; Oct 17-Oct 31 sunrise-18:30; Nov sunrise-17:30; Dec sunrise-16:30
18	Apr 1 - Oct 1
18	9:30-17:30
18	8:00-sunset
18	17:00-0:00
17	Mo-Su 9:30-21:30
17	Mo-Sa 8:00-16:00
17	mo-sa 08:00; ph off
17	mo-sa 08:00-20:00
17	Mo-Fr 9:30-19:30; Sa-Su 9:30-19:30
17	Mo-Fr 9:00-19:00; Sa-Su 7:00-19:00
17	Mo-Fr 9:00-19:00; Sa 9:00-18:00
17	Mo-Fr 9:00-19:00; Sa 9:00-17:00
17	Mo-Fr 9:00-16:30
